location,date,value
Andalucía,2017/09,1434.84
"Balears, Illes",2017/09,2079.6
Canarias,2017/09,1287.18
Cataluña,2017/09,2170.24
Comunitat Valenciana,2017/09,945.82
"Madrid, Comunidad de",2017/09,870.1
Otras Comunidades Autónomas,2017/09,688.53
Andalucía,2017/10,1233.58
"Balears, Illes",2017/10,1333.27
Canarias,2017/10,1527.06
Cataluña,2017/10,1549.21
Comunitat Valenciana,2017/10,743.57
"Madrid, Comunidad de",2017/10,835.19
Otras Comunidades Autónomas,2017/10,567.35
Andalucía,2017/11,612.92
"Balears, Illes",2017/11,175.89
Canarias,2017/11,1511.15
Cataluña,2017/11,928.63
Comunitat Valenciana,2017/11,415.77
"Madrid, Comunidad de",2017/11,638
Otras Comunidades Autónomas,2017/11,359.98
Andalucía,2017/12,610.86
"Balears, Illes",2017/12,115.52
Canarias,2017/12,1539.42
Cataluña,2017/12,877.47
Comunitat Valenciana,2017/12,394.24
"Madrid, Comunidad de",2017/12,649.31
Otras Comunidades Autónomas,2017/12,343.82
Andalucía,2018/01,597.05
"Balears, Illes",2018/01,113.08
Canarias,2018/01,1446.97
Cataluña,2018/01,904.24
Comunitat Valenciana,2018/01,435.28
"Madrid, Comunidad de",2018/01,644.1
Otras Comunidades Autónomas,2018/01,383.72
Andalucía,2018/02,660.49
"Balears, Illes",2018/02,154.1
Canarias,2018/02,1418.82
Cataluña,2018/02,1023.49
Comunitat Valenciana,2018/02,437.54
"Madrid, Comunidad de",2018/02,555.52
Otras Comunidades Autónomas,2018/02,285.98
Andalucía,2018/03,900.66
"Balears, Illes",2018/03,398.01
Canarias,2018/03,1611.31
Cataluña,2018/03,1145.32
Comunitat Valenciana,2018/03,607.35
"Madrid, Comunidad de",2018/03,655.29
Otras Comunidades Autónomas,2018/03,408.79
Andalucía,2018/04,1002.42
"Balears, Illes",2018/04,843.11
Canarias,2018/04,1295.13
Cataluña,2018/04,1512.09
Comunitat Valenciana,2018/04,675.07
"Madrid, Comunidad de",2018/04,774.47
Otras Comunidades Autónomas,2018/04,519.24
Andalucía,2018/05,1227.53
"Balears, Illes",2018/05,1645.7
Canarias,2018/05,1166.2
Cataluña,2018/05,1905.15
Comunitat Valenciana,2018/05,784.96
"Madrid, Comunidad de",2018/05,795.82
Otras Comunidades Autónomas,2018/05,629.7
Andalucía,2018/06,1271.05
"Balears, Illes",2018/06,2137.62
Canarias,2018/06,1167.32
Cataluña,2018/06,2385.91
Comunitat Valenciana,2018/06,848.2
"Madrid, Comunidad de",2018/06,939.51
Otras Comunidades Autónomas,2018/06,621.18
Andalucía,2018/07,1586.08
"Balears, Illes",2018/07,2841.43
Canarias,2018/07,1528.22
Cataluña,2018/07,2900.18
Comunitat Valenciana,2018/07,1194.66
"Madrid, Comunidad de",2018/07,891.81
Otras Comunidades Autónomas,2018/07,805.71
Andalucía,2018/08,1527.78
"Balears, Illes",2018/08,2779.86
Canarias,2018/08,1514.7
Cataluña,2018/08,2726.27
Comunitat Valenciana,2018/08,1274.27
"Madrid, Comunidad de",2018/08,719.38
Otras Comunidades Autónomas,2018/08,917.44
Andalucía,2018/09,1386.97
"Balears, Illes",2018/09,2128.65
Canarias,2018/09,1318.3
Cataluña,2018/09,2185.81
Comunitat Valenciana,2018/09,967.51
"Madrid, Comunidad de",2018/09,879.67
Otras Comunidades Autónomas,2018/09,678.9
Andalucía,2018/10,1209.02
"Balears, Illes",2018/10,1344.61
Canarias,2018/10,1521.29
Cataluña,2018/10,1710.04
Comunitat Valenciana,2018/10,784.68
"Madrid, Comunidad de",2018/10,980.12
Otras Comunidades Autónomas,2018/10,614.82
Andalucía,2018/11,639.49
"Balears, Illes",2018/11,183.38
Canarias,2018/11,1493.28
Cataluña,2018/11,1017.12
Comunitat Valenciana,2018/11,471.74
"Madrid, Comunidad de",2018/11,730.24
Otras Comunidades Autónomas,2018/11,353.3
Andalucía,2018/12,632.85
"Balears, Illes",2018/12,187.64
Canarias,2018/12,1630.73
Cataluña,2018/12,1062.14
Comunitat Valenciana,2018/12,438.72
"Madrid, Comunidad de",2018/12,716.93
Otras Comunidades Autónomas,2018/12,340.52
Andalucía,2019/01,596.04
"Balears, Illes",2019/01,135.24
Canarias,2019/01,1465.22
Cataluña,2019/01,943.9
Comunitat Valenciana,2019/01,438.43
"Madrid, Comunidad de",2019/01,769.24
Otras Comunidades Autónomas,2019/01,330.59
Andalucía,2019/02,621.42
"Balears, Illes",2019/02,168.47
Canarias,2019/02,1445.74
Cataluña,2019/02,1013.9
Comunitat Valenciana,2019/02,475.32
"Madrid, Comunidad de",2019/02,630.83
Otras Comunidades Autónomas,2019/02,302.93
Andalucía,2019/03,884.26
"Balears, Illes",2019/03,355.34
Canarias,2019/03,1743.75
Cataluña,2019/03,1238.47
Comunitat Valenciana,2019/03,634.76
"Madrid, Comunidad de",2019/03,823.15
Otras Comunidades Autónomas,2019/03,355.14
Andalucía,2019/04,985.77
"Balears, Illes",2019/04,991.38
Canarias,2019/04,1386.38
Cataluña,2019/04,1645.26
Comunitat Valenciana,2019/04,715.31
"Madrid, Comunidad de",2019/04,834.66
Otras Comunidades Autónomas,2019/04,497.6
Andalucía,2019/05,1174.9
"Balears, Illes",2019/05,1607.48
Canarias,2019/05,1070.33
Cataluña,2019/05,2001.02
Comunitat Valenciana,2019/05,746.28
"Madrid, Comunidad de",2019/05,988.6
Otras Comunidades Autónomas,2019/05,549.22
Andalucía,2019/06,1240
"Balears, Illes",2019/06,2146.86
Canarias,2019/06,1137.48
Cataluña,2019/06,2514.58
Comunitat Valenciana,2019/06,920.02
"Madrid, Comunidad de",2019/06,1077.27
Otras Comunidades Autónomas,2019/06,649.91
Andalucía,2019/07,1400.59
"Balears, Illes",2019/07,2885.74
Canarias,2019/07,1488.17
Cataluña,2019/07,2989.37
Comunitat Valenciana,2019/07,1362.61
"Madrid, Comunidad de",2019/07,964.54
Otras Comunidades Autónomas,2019/07,850.49
Andalucía,2019/08,1540.54
"Balears, Illes",2019/08,2797.16
Canarias,2019/08,1494
Cataluña,2019/08,2775.53
Comunitat Valenciana,2019/08,1417.09
"Madrid, Comunidad de",2019/08,757.14
Otras Comunidades Autónomas,2019/08,923.31
Andalucía,2019/09,1358.57
"Balears, Illes",2019/09,2127.78
Canarias,2019/09,1223.32
Cataluña,2019/09,2277.48
Comunitat Valenciana,2019/09,1010.16
"Madrid, Comunidad de",2019/09,944.18
Otras Comunidades Autónomas,2019/09,675.71
Andalucía,2019/10,1269.13
"Balears, Illes",2019/10,1297.01
Canarias,2019/10,1426.93
Cataluña,2019/10,1867.98
Comunitat Valenciana,2019/10,836.77
"Madrid, Comunidad de",2019/10,1005.01
Otras Comunidades Autónomas,2019/10,619.72
Andalucía,2019/11,673.02
"Balears, Illes",2019/11,188.21
Canarias,2019/11,1482.99
Cataluña,2019/11,970.17
Comunitat Valenciana,2019/11,518.38
"Madrid, Comunidad de",2019/11,862.95
Otras Comunidades Autónomas,2019/11,366.91
Andalucía,2019/12,668.73
"Balears, Illes",2019/12,142.72
Canarias,2019/12,1490.01
Cataluña,2019/12,1081.08
Comunitat Valenciana,2019/12,477.92
"Madrid, Comunidad de",2019/12,796.17
Otras Comunidades Autónomas,2019/12,354.21
Andalucía,2020/01,671.67
"Balears, Illes",2020/01,107.12
Canarias,2020/01,1421.81
Cataluña,2020/01,905.9
Comunitat Valenciana,2020/01,446.48
"Madrid, Comunidad de",2020/01,871.74
Otras Comunidades Autónomas,2020/01,342.58
Andalucía,2020/02,665.6
"Balears, Illes",2020/02,177.34
Canarias,2020/02,1429.64
Cataluña,2020/02,993.61
Comunitat Valenciana,2020/02,529.39
"Madrid, Comunidad de",2020/02,659.6
Otras Comunidades Autónomas,2020/02,334.1
Andalucía,2020/03,332.91
"Balears, Illes",2020/03,104.77
Canarias,2020/03,608.38
Cataluña,2020/03,398.72
Comunitat Valenciana,2020/03,244.89
"Madrid, Comunidad de",2020/03,321.05
Otras Comunidades Autónomas,2020/03,163.01
Andalucía,2020/04,0
"Balears, Illes",2020/04,0
Canarias,2020/04,0
Cataluña,2020/04,0
Comunitat Valenciana,2020/04,0
"Madrid, Comunidad de",2020/04,0
Otras Comunidades Autónomas,2020/04,0
Andalucía,2020/05,0
"Balears, Illes",2020/05,0
Canarias,2020/05,0
Cataluña,2020/05,0
Comunitat Valenciana,2020/05,0
"Madrid, Comunidad de",2020/05,0
Otras Comunidades Autónomas,2020/05,0
Andalucía,2020/06,9.93
