Country,date,value
European_Union,2017/01,29869662
European_Union,2017/02,32348843
European_Union,2017/03,37633947
European_Union,2017/04,45800418
European_Union,2017/05,48326633
European_Union,2017/06,56256978
European_Union,2017/07,66980074
European_Union,2017/08,68371818
European_Union,2017/09,51625987
European_Union,2017/10,43972449
European_Union,2017/11,35586553
European_Union,2017/12,36263968
European_Union,2018/01,31019500
European_Union,2018/02,33581806
European_Union,2018/03,40702451
European_Union,2018/04,44391130
European_Union,2018/05,50990254
European_Union,2018/06,57666393
European_Union,2018/07,66604584
European_Union,2018/08,71565069
European_Union,2018/09,53779540
European_Union,2018/10,45704318
European_Union,2018/11,37957454
European_Union,2018/12,37289658
European_Union,2019/01,31700920
European_Union,2019/02,34806322
European_Union,2019/03,41198151
European_Union,2019/04,47438695
European_Union,2019/05,51744804
European_Union,2019/06,61785641
European_Union,2019/07,69147655
European_Union,2019/08,75298804
European_Union,2019/09,58369229
European_Union,2019/10,47083645
European_Union,2019/11,39776740
European_Union,2019/12,37786166
European_Union,2020/01,33323003
European_Union,2020/02,36551604
European_Union,2020/03,14856761
European_Union,2020/04,2487127
European_Union,2020/05,7947790
European_Union,2020/06,26394981
European_Union,2020/07,58942901
European_Union,2020/08,71366329
European_Union,2020/09,45047998
European_Union,2020/10,30926303
European_Union,2020/11,9972044
European_Union,2020/12,9360654
European_Union,2021/01,7714878
European_Union,2021/02,10048881
European_Union,2021/03,11014126
European_Union,2021/04,12611426
European_Union,2021/05,27212784
European_Union,2021/06,43920021
European_Union,2021/07,67054781
European_Union,2021/08,73445046
European_Union,2021/09,55354237
European_Union,2021/10,
Belgium,2017/01,391394
Belgium,2017/02,491850
Belgium,2017/03,605637
Belgium,2017/04,744209
Belgium,2017/05,708409
Belgium,2017/06,683856
Belgium,2017/07,884224
Belgium,2017/08,805530
Belgium,2017/09,743054
Belgium,2017/10,711526
Belgium,2017/11,581775
Belgium,2017/12,583220
Belgium,2018/01,411369
Belgium,2018/02,528428
Belgium,2018/03,645869
Belgium,2018/04,769996
Belgium,2018/05,784185
Belgium,2018/06,730797
Belgium,2018/07,940149
Belgium,2018/08,892094
Belgium,2018/09,759854
Belgium,2018/10,738993
Belgium,2018/11,630334
Belgium,2018/12,608993
Belgium,2019/01,407492
Belgium,2019/02,523988
Belgium,2019/03,684742
Belgium,2019/04,829347
Belgium,2019/05,768537
Belgium,2019/06,777155
Belgium,2019/07,939287
Belgium,2019/08,938728
